0,1,2,3,4,5,6,7,8,9
Jack Grealish,2018,35,6,8,5,0,0,3031,
Jack Grealish,2019,41,10,8,8,0,0,3550,
Jack Grealish,2020,27,7,12,5,0,0,2275,
Jack Grealish,2021,29,4,3,2,0,0,2110,
Romelu Lukaku,2018,45,15,4,5,0,0,3001,
Romelu Lukaku,2019,51,34,6,2,0,0,4189,
Romelu Lukaku,2020,44,30,10,7,0,0,3565,
Romelu Lukaku,2021,34,12,2,0,0,0,2247,
Jadon Sancho,2018,43,13,20,3,0,0,2967,
Jadon Sancho,2019,44,20,20,2,0,0,3274,
Jadon Sancho,2020,38,16,20,1,0,0,2974,
Jadon Sancho,2021,33,5,3,0,0,0,2078,
Dusan Vlahovic,2018,31,19,1,3,0,0,1946,
Dusan Vlahovic,2019,35,9,2,5,0,1,1889,
Dusan Vlahovic,2020,40,21,2,1,0,0,3090,
Dusan Vlahovic,2021,35,25,6,4,0,0,2942,
Lionel Messi,2018,50,51,22,3,0,0,4023,
Lionel Messi,2019,44,31,27,7,0,0,3810,
Lionel Messi,2020,47,38,14,6,0,1,4192,
Lionel Messi,2021,26,7,11,1,0,0,2152,
Raphaël Varane,2018,43,2,0,1,0,1,3775,
Raphaël Varane,2019,43,3,1,3,0,0,3843,
Raphaël Varane,2020,41,2,0,4,0,0,3571,
Raphaël Varane,2021,24,0,1,1,0,0,1911,
Achraf Hakimi,2018,28,3,7,5,0,0,2349,
Achraf Hakimi,2019,45,9,10,5,0,0,3571,
Achraf Hakimi,2020,45,7,11,9,0,0,3211,
Achraf Hakimi,2021,32,3,4,5,0,1,2597,
Dayot Upamecano,2018,22,0,0,6,0,0,1852,
Dayot Upamecano,2019,38,0,2,9,1,0,3182,
Dayot Upamecano,2020,41,1,1,10,0,0,3407,
Dayot Upamecano,2021,30,1,4,6,0,0,2294,
Antoine Griezmann,2018,48,21,10,8,0,0,4068,
Antoine Griezmann,2019,48,15,4,4,0,0,3499,
Antoine Griezmann,2020,51,20,13,5,0,0,3903,
Antoine Griezmann,2021,28,8,5,2,0,1,1811,
Gianluigi Donnarumma,2018,39,0,5,0,0,32,15,3362.0
Gianluigi Donnarumma,2019,39,0,3,0,0,45,14,3502.0
Gianluigi Donnarumma,2020,48,0,3,0,1,54,15,4350.0
Gianluigi Donnarumma,2021,19,0,3,0,0,17,8,1710.0
Ben White,2018,24,1,4,2,0,0,2089,
Ben White,2019,49,1,2,6,0,0,4364,
Ben White,2020,39,0,0,3,1,0,3465,
Ben White,2021,31,0,0,1,0,0,2738,
