player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year
Jack Grealish,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,"Sep 10, 1995",180,right,Left Winger,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,England,Premier League,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,117500000,2021
Romelu Lukaku,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,"May 13, 1993",191,left,Centre-Forward,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,113000000,2021
Jadon Sancho,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,"Mar 25, 2000",180,right,Left Winger,Germany,Bundesliga,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2021,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,85000000,2021
Dusan Vlahovic,https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498,"Jan 28, 2000",190,left,Centre-Forward,Italy,Serie A,ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,81600000,2021
Lionel Messi,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,"Jun 24, 1987",169,left,Right Winger,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,free transfer,2021
Raphaël Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,"Apr 25, 1993",191,right,Centre-Back,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,40000000,2021
Achraf Hakimi,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,"Nov 4, 1998",181,right,Right-Back,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,66500000,2021
Dayot Upamecano,https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,"Oct 27, 1998",186,right,Centre-Back,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,Germany,Bundesliga,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2021,42500000,2021
Antoine Griezmann,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,"Mar 21, 1991Happy Birthday",176,left,Second Striker,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,10000000,2021
Gianluigi Donnarumma,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,"Feb 25, 1999",196,right,Goalkeeper,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,free transfer,2021
Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,"Oct 8, 1997",186,right,Centre-Back,England,Premier League,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,58500000,2021
Ferran Torres,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,"Feb 29, 2000",182,right,Right Winger,England,Premier League,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,55000000,2021
Eduardo Camavinga,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,"Nov 10, 2002",182,left,Central Midfield,France,Ligue 1,Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2021,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,31000000,2021
David Alaba,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,"Jun 24, 1992",180,left,Centre-Back,Germany,Bundesliga,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2021,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,free transfer,2021
Luis Díaz,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,"Jan 13, 1997",180,right,Left Winger,Portugal,Liga Portugal,FC Porto,https://www.transfermarkt.com/fc-porto/startseite/verein/720/saison_id/2021,England,Premier League,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,45000000,2021
André Silva,https://www.transfermarkt.com/andre-silva/profil/spieler/198008,"Nov 6, 1995",185,right,Centre-Forward,Germany,Bundesliga,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2021,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,23000000,2021
Cristiano Ronaldo,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198,"Feb 5, 1985",187,right,Centre-Forward,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,15000000,2021
Memphis Depay,https://www.transfermarkt.com/memphis-depay/profil/spieler/167850,"Feb 13, 1994",176,right,Centre-Forward,France,Ligue 1,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2021,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,free transfer,2021
Bruno Guimarães,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,"Nov 16, 1997",182,right,Defensive Midfield,France,Ligue 1,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2021,England,Premier League,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,42100000,2021
Marcel Sabitzer,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,"Mar 17, 1994",177,right,Central Midfield,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,Germany,Bundesliga,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2021,15000000,2021
Ibrahima Konaté,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,"May 25, 1999",194,right,Centre-Back,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,England,Premier League,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,40000000,2021
Tammy Abraham,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726,"Oct 2, 1997",194,right,Centre-Forward,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,40000000,2021
Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,"Dec 17, 1998",178,left,Attacking Midfield,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,35000000,2021
Nuno Mendes,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,"Jun 19, 2002",176,left,Left-Back,Portugal,Liga Portugal,Sporting CP,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,7000000,2021
Saúl Ñíguez,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,"Nov 21, 1994",184,left,Central Midfield,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,5000000,2021
Emiliano Buendía,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247,"Dec 25, 1996",172,right,Right Winger,England,Premier League,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,38400000,2021
Rodrigo de Paul,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901,"May 24, 1994",180,right,Central Midfield,Italy,Serie A,Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,35000000,2021
Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,"Dec 28, 1996",181,right,Central Midfield,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,France,Ligue 1,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2021,1420000,2021
