team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,Pep Guardiola,38,72,98,24.3,34,26160000,1200000000,57600000,78590000,-20990000,1,2018
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,Jürgen Klopp,38,67,97,24.7,25,30060000,1170000000,41320000,182200000,-140880000,2,2018
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,Antonio Conte,38,24,72,25.6,40,21600000,1170000000,83250000,208800000,-125550000,3,2018
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2018,Mauricio Pochettino,38,28,71,25.4,20,26430000,898600000,5350000,0,5350000,4,2018
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,José Mourinho,38,11,66,25.3,22,22160000,797600000,30550000,82700000,-52150000,6,2018
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,Unai Emery,38,22,70,24.9,28,15690000,659050000,9100000,80150000,-71050000,5,2018
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,Marco Silva,38,8,54,26.0,28,13230000,529100000,28650000,99800000,-71150000,8,2018
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2018,Claude Puel,38,3,52,26.4,26,11730000,434100000,95800000,114600000,-18800000,9,2018
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,Manuel Pellegrini,38,-3,52,26.6,23,9700000,359000000,13770000,100900000,-87130000,10,2018
AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,Eddie Howe,38,-14,45,25.7,16,8380000,310000000,20200000,89100000,-68900000,14,2018
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2018,Mark Hughes,38,-20,39,24.9,18,7640000,305400000,26100000,62250000,-36150000,16,2018
