player_name,date,market_value,player_club,age
Aaron Ramsey,2008-06-09,€1.50m,Cardiff City,17
Aaron Ramsey,2010-01-25,€6.00m,Arsenal FC,19
Aaron Ramsey,2010-08-13,€6.00m,Arsenal FC,19
Aaron Ramsey,2012-06-24,€11.50m,Arsenal FC,21
Aaron Ramsey,2016-02-09,€30.00m,Arsenal FC,25
Aaron Ramsey,2016-06-01,€30.00m,Arsenal FC,25
Aaron Ramsey,2017-02-20,€35.00m,Arsenal FC,26
Aaron Ramsey,2018-01-02,€40.00m,Arsenal FC,27
Aaron Ramsey,2018-05-28,€45.00m,Arsenal FC,27
Aaron Ramsey,2019-12-12,€40.00m,Juventus FC,28
Aaron Ramsey,2020-03-03,€35.00m,Juventus FC,29
Aaron Ramsey,2020-08-25,€22.00m,Juventus FC,29
Aaron Ramsey,2021-05-25,€14.00m,Juventus FC,30
Aaron Ramsey,2021-10-14,€10.00m,Juventus FC,30
Aaron Wan-Bissaka,2019-06-13,€35.00m,Crystal Palace,21
Aaron Wan-Bissaka,2019-09-12,€40.00m,Manchester United,21
Aaron Wan-Bissaka,2019-12-10,€40.00m,Manchester United,22
Aaron Wan-Bissaka,2020-04-08,€32.00m,Manchester United,22
Aaron Wan-Bissaka,2020-07-30,€40.00m,Manchester United,22
Aaron Wan-Bissaka,2020-10-13,€40.00m,Manchester United,22
Aaron Wan-Bissaka,2021-03-18,€40.00m,Manchester United,23
Aaron Wan-Bissaka,2021-06-08,€40.00m,Manchester United,23
Aarón Martín,2017-06-05,€10.00m,RCD Espanyol Barcelona,20
Aarón Martín,2018-01-01,€15.00m,RCD Espanyol Barcelona,20
Aarón Martín,2018-03-22,€20.00m,RCD Espanyol Barcelona,20
Aarón Martín,2018-05-30,€12.00m,RCD Espanyol Barcelona,21
Aarón Martín,2019-06-05,€20.00m,1.FSV Mainz 05,22
Aarón Martín,2020-03-11,€13.00m,1.FSV Mainz 05,22
Aarón Martín,2021-06-10,€4.50m,Celta de Vigo,24
Abdou Diallo,2018-12-18,€33.00m,Borussia Dortmund,22
Abdou Diallo,2019-06-05,€35.00m,Borussia Dortmund,23
Abdou Diallo,2019-12-19,€35.00m,Paris Saint-Germain,23
Abdou Diallo,2020-04-08,€28.00m,Paris Saint-Germain,23
Abdou Diallo,2020-10-15,€25.00m,Paris Saint-Germain,24
Abdou Diallo,2021-06-04,€25.00m,Paris Saint-Germain,25
Achraf Hakimi,2018-12-18,€25.00m,Borussia Dortmund,20
Achraf Hakimi,2019-03-06,€30.00m,Borussia Dortmund,20
Achraf Hakimi,2020-03-11,€60.00m,Borussia Dortmund,21
Adam Lallana,2014-08-12,€22.00m,Liverpool FC,26
Adam Lallana,2015-02-12,€22.00m,Liverpool FC,26
Adam Lallana,2015-07-01,€20.00m,Liverpool FC,27
Adam Lallana,2016-02-09,€18.00m,Liverpool FC,27
Adam Lallana,2016-06-01,€19.00m,Liverpool FC,28
Adam Lallana,2017-02-20,€22.00m,Liverpool FC,28
Adam Lallana,2017-06-28,€25.00m,Liverpool FC,29
Adam Lallana,2018-01-02,€25.00m,Liverpool FC,29
Adam Lallana,2018-05-28,€25.00m,Liverpool FC,30
Adam Lallana,2018-10-17,€20.00m,Liverpool FC,30
Adam Lallana,2019-12-10,€12.00m,Liverpool FC,31
Adam Lallana,2020-10-13,€8.00m,Brighton & Hove Albion,32
Adam Lallana,2021-03-18,€6.00m,Brighton & Hove Albion,32
Adam Ounas,2016-07-13,€4.00m,FC Girondins Bordeaux,19
Adam Ounas,2017-01-16,€4.00m,FC Girondins Bordeaux,20
Adam Ounas,2017-06-01,€4.00m,FC Girondins Bordeaux,20
Adam Ounas,2017-10-13,€5.00m,SSC Napoli,20
Adam Ounas,2017-12-29,€5.00m,SSC Napoli,21
Adam Ounas,2018-12-20,€7.50m,SSC Napoli,22
Adam Ounas,2019-03-01,€10.00m,SSC Napoli,22
Adam Ounas,2019-06-06,€10.00m,SSC Napoli,22
Adam Ounas,2019-12-19,€10.00m,OGC Nice,23
Adam Ounas,2020-04-08,€8.00m,OGC Nice,23
Adam Ounas,2020-08-25,€8.00m,SSC Napoli,23
Adam Ounas,2020-12-29,€8.00m,Cagliari Calcio,24
Adam Ounas,2021-06-03,€8.00m,FC Crotone,24
Adama Traoré,2014-08-05,€5.00m,FC Barcelona B,18
Adama Traoré,2015-01-08,€5.00m,FC Barcelona B,18
Adama Traoré,2015-08-14,€5.00m,Aston Villa,19
Adama Traoré,2016-02-09,€8.00m,Aston Villa,20
Adama Traoré,2018-08-13,€18.00m,Wolverhampton Wanderers,22
Adama Traoré,2018-12-19,€18.00m,Wolverhampton Wanderers,22
Adama Traoré,2019-12-10,€28.00m,Wolverhampton Wanderers,23
Adama Traoré,2020-07-30,€35.00m,Wolverhampton Wanderers,24
Adama Traoré,2020-10-13,€40.00m,Wolverhampton Wanderers,24
Adama Traoré,2021-03-18,€35.00m,Wolverhampton Wanderers,25
Adama Traoré,2021-05-31,€30.00m,Wolverhampton Wanderers,25
Ademola Lookman,2016-10-11,€1.50m,Charlton Athletic,18
Ademola Lookman,2017-02-20,€5.00m,Everton FC,19
Ademola Lookman,2018-12-19,€20.00m,Everton FC,21
Ademola Lookman,2019-06-13,€20.00m,Everton FC,21
Ademola Lookman,2019-12-17,€17.00m,RB Leipzig,22
Ademola Lookman,2020-04-08,€13.50m,RB Leipzig,22
Ademola Lookman,2020-09-16,€10.00m,RB Leipzig,22
Ademola Lookman,2021-03-18,€13.00m,Fulham FC,23
Ademola Lookman,2021-06-08,€11.00m,Fulham FC,23
Adrien Rabiot,2018-01-24,€45.00m,Paris Saint-Germain,22
Adrien Rabiot,2018-06-04,€50.00m,Paris Saint-Germain,23
Adrien Rabiot,2018-12-17,€50.00m,Paris Saint-Germain,23
Adrien Rabiot,2019-12-12,€32.00m,Juventus FC,24
Adrien Rabiot,2020-04-08,€25.50m,Juventus FC,25
Adrien Rabiot,2020-08-25,€28.00m,Juventus FC,25
Adrien Rabiot,2020-12-29,€32.00m,Juventus FC,25
Adrien Rabiot,2021-06-01,€30.00m,Juventus FC,26
Adrien Rabiot,2021-12-28,€22.00m,Juventus FC,26
Adrien Silva,2009-07-02,€1.60m,Sporting CP,20
Adrien Silva,2010-02-03,€1.60m,Sporting CP,20
